idx	word	raw	pos	infl	lookup	parent	deri	idk	js
1	eslequuq#V	eslequuq	V	[Ind.Intr]^[3Sg]					{}
1.1	esleqaghaghtuuq#V	esleqaghaghtuuq	V	[Ind.Intr]^[3Sg]		1	#NAME?		{}
									
2	estuuq#V	estuuq	V	[Ind.Intr]^[3Sg]					{}
2.1	estaaghaghtuuq#V	estaaghaghtuuq	V	[Ind.Intr]^[3Sg]		2	#NAME?		{}
									
3	maniiq#V	maniiq	V	[Ind.Intr]^[3Sg]					{}
3.1	maniighaghtuuq#V	maniighaghtuuq	V	[Ind.Intr]^[3Sg]		3	#NAME?		{}
									
4	piiq#V	piiq	V	[Ind.Intr]^[3Sg]					{}
4.1	piighaghtuuq#V	piighaghtuuq	V	[Ind.Intr]^[3Sg]		4	#NAME?		{}
4.2	pimanginaghtuuq#V	pimanginaghtuuq	V	[Ind.Intr]^[3Sg]		4	@~:(i/u)manginagh(V__)		{}
4.3	pilaataquuq#V	pilaataquuq	V	[Ind.Intr]^[3Sg]		4	@laataqu(V__)		{}
4.4	pillaak#N	pillaak	N	[Abs.Sg]		4	__leg(V__)		{}
4.5	pillgituuq#V	pillgituuq	V	[Ind.Intr]^[3Sg]		4	__lgite(V__)		{}
4.6	pinayaghtuuq#V	pinayaghtuuq	V	[Ind.Intr]^[3Sg]		4	@~fnayagh(V__)		{}
4.7	pineghllugtuuq#V	pineghllugtuuq	V	[Ind.Intr]^[3Sg]		4	@~f__eghllug(V__)		{}
4.8	piyukuuq#V	piyukuuq	V	[Ind.Intr]^[3Sg]		4	@~fyuke(CmpdVbl)		{}
4.9	piyaghtuuq#V	piyaghtuuq	V	[Ind.Intr]^[3Sg]		4	@~fyagh(V__)		{}
4.1	piiquuq#V	piiquuq	V	[Ind.Intr]^[3Sg]		4	~(g)aqe(V__)		{}
4.11	piiqsaghtuuq#V	piiqsaghtuuq	V	[Ind.Intr]^[3Sg]		4.1	@~fyagh(V__)		{}
									
5	tagiiq#V	tagiiq	V	[Ind.Intr]^[3Sg]					{}
5.1	tagiighaghtuuq#V	tagiighaghtuuq	V	[Ind.Intr]^[3Sg]		5	#NAME?		{}
5.2	tagighesnaghtuuq#V	tagighesnaghtuuq	V	[Ind.Intr]^[3Sg]		5	~f(a)ghesnagh(V__)		{}
5.3	tagisquuq#V	tagisquuq	V	[Ind.Intr]^[3Sg]		5	~sf:(e)sqe(CmpdVbl)		{}
5.4	tagikaayaghtuuq#V	tagikaayaghtuuq	V	[Ind.Intr]^[3Sg]		5	@~_(g)kaayagh(V__)		{}
5.5	tagikusiightuuq#V	tagikusiightuuq	V	[Ind.Intr]^[3Sg]		5	__usiigh(V__)		{}
5.6	tagilaghatuuq#V	tagilaghatuuq	V	[Ind.Intr]^[3Sg]		5	~f__aghate(V__)		{}
5.7	taginaaghtuuq#V	taginaaghtuuq	V	[Ind.Intr]^[3Sg]		5	@~fnaagh(V__)		{}
5.8	taginaqelqusiightuuq#V	taginaqelqusiightuuq	V	[Ind.Intr]^[3Sg]		5	@~fnaqelqusiigh(V__)		{}
5.9	taginguuq#V	taginguuq	V	[Ind.Intr]^[3Sg]		5	~:(ng)u(V__)		{}
5.1	taginguuq#V	taginguuq	V	[Ind.Intr]^[3Sg]		5	~:(ng)u(V__)		{}
5.11	taginiiq#V	taginiiq	V	[Ind.Intr]^[3Sg]		5	@~fni(CmpdVbl)		{}
5.12	taginiiq#V	taginiiq	V	[Ind.Intr]^[3Sg]		5	@~fni(CmpdVbl)		{}
